# Grid cutoff vs total energy
# Date: Mon Apr 21 03:00:12 PM EDT 2025
# PWD: /home/mlouis9/shared/Educational Stuffs/Classes/Spring 2025/Computational Chemistry/Project/code/static_calculation/sample_output_no_smearing
# REL_CUTOFF = 60
# Cutoff (Ry) | Total Energy (Ha) | NG on grid 1 | NG on grid 2 | NG on grid 3 | NG on grid 4
     50.00   -32.3795329864    5048    5432      16       0
    100.00   -32.3804557629    2720    5000    2760      16
    150.00   -32.3804554849    2032    3016    5432      16
    200.00   -32.3804554981    1880    2472    3384    2760
    250.00   -32.3804554857     264    4088    3384    2760
    300.00   -32.3804554842     264    2456    5000    2776
    350.00   -32.3804554845      56    1976    5688    2776
    400.00   -32.3804554850      56    1976    3016    5448
    450.00   -32.3804554849       0    2032    3016    5448
    500.00   -32.3804554850       0    2032    3016    5448
