# Grid cutoff vs total energy
# Date: Tue Apr 22 15:15:09 MDT 2025
# PWD: /home/louimatt/projects/comp_chem_project/ucl3_param_opt
# REL_CUTOFF = 60
# Cutoff (Ry) | Total Energy (Ha) | NG on grid 1 | NG on grid 2 | NG on grid 3 | NG on grid 4 | NG on grid 5
    250.00  -1495.3509818509   85644   55214   39892   13883     110
    300.00  -1495.3510432496   79147   52706   37520   25260     110
    350.00  -1495.3510133057   79147   42572   47654   25260     110
    400.00  -1495.3510510213   76214   37032   55967   25310     220
    450.00  -1495.3510312236   76214   37032   47777   33450     270
    500.00  -1495.3510331971   68917   43010   42467   37391    2958
    550.00  -1495.3510332145   52629   57759   35616   45781    2958
    600.00  -1495.3510334412   38239   68103   39662   45781    2958
    650.00  -1495.3510327363   33255   59717   53032   41057    7682
    700.00  -1495.3510332671   28855   59958   57191   34746   13993
    750.00  -1495.3510316197   23985   61659   55214   39892   13993
    800.00  -1495.3510338282   23985   59101   57772   37793   16092
    850.00  -1495.3510339365   17247   63064   57143   36380   20909
    900.00  -1495.3510344595   14645   64502   52706   37520   25370
