# Rel Grid cutoff vs total energy
# Date: Mon Apr 21 08:05:20 PM EDT 2025
# PWD: /home/mlouis9/shared/Educational Stuffs/Classes/Spring 2025/Computational Chemistry/Project/code/ucl3_param_opt
# CUTOFF = 250
# Rel Cutoff (Ry) | Total Energy (Ha) | NG on grid 1 | NG on grid 2 | NG on grid 3 | NG on grid 4
     10.00  -192.4509136456     206   45930   22435   32955
     20.00  -192.6266099736   14826   40303   27022   19375
     30.00  -192.6252985867   46136   22435   18144   14811
     40.00  -192.6252502599   49927   21150   22200    8249
     50.00  -192.6252466404   50901   26046   16458    8121
     60.00  -192.6252465588   55129   27022   14324    5051
     70.00  -192.6252465273   60117   24456   13287    3666
     80.00  -192.6252465273   67319   17254   15563    1390
     90.00  -192.6252465274   68571   18144   13421    1390
    100.00  -192.6252465274   69551   20354   11405     216
